CC1,-CC1,CC2,-CC2,M4G,-M4G,CCL,-CCL,CCX,-CCX,CC2 (Transfer),-CC2T,M4G (Transfer),-M4GT,CC1 & CC2 & M4G,-CC1CC2M4G
Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM,Days Elapsed,WPM
6,11,1,9,2,17,7,65,6,22,757,104,927,96,6,11
7,13,4,14,6,24,8,66,8,29,774,86,536,42,7,13
8,10,1,12,9,26,12,72,6,57,834,88,537,50,8,10
12,14,3,16,12,31,46,78,14,39,811,158,539,46,12,14
13,16,8,20,27,29,53,94,15,46,812,124,545,70,13,16
1,4,17,26,28,34,71,80,22,55,838,90,546,77,1,4
2,6,1,7,30,30,91,85,31,58,234,94,554,63,2,6
1,4,2,14,32,35,101,90,,,237,99,558,74,1,4
2,12,7,12,35,40,3,75,,,15,29,876,70,2,12
1,5,8,16,363,27,5,72,,,16,27,898,107,1,5
27,30,9,20,364,33,8,72,,,17,28,901,121,27,30
1,25,11,22,365,35,24,74,,,18,30,906,121,1,25
31,21,12,21,366,36,1,33,,,19,29,908,104,31,21
1,4,13,25,367,40,2,30,,,20,31,909,130,1,4
2,8,14,26,368,46,1,63,,,21,31,913,103,2,8
3,10,15,30,370,48,2,63,,,22,33,918,106,3,10
4,10,16,34,1,32,3,67,,,24,32,920,111,4,10
5,17,17,35,2,16,,,,,25,33,927,90,5,17
6,12,18,36,3,20,,,,,26,34,929,260,6,12
7,20,19,39,4,24,,,,,27,36,934,114,7,20
1,5,20,40,5,25,,,,,28,34,935,200,1,5
3,23,21,44,6,25,,,,,29,35,938,117,3,23
5,15,23,43,7,31,,,,,30,34,939,202,5,15
6,27,24,47,8,28,,,,,31,36,941,167,6,27
1,8,25,53,9,39,,,,,32,35,942,128,1,8
5,9,26,59,10,34,,,,,33,30,951,136,5,9
6,12,27,50,11,35,,,,,34,33,953,183,6,12
7,12,32,33,12,45,,,,,35,33,954,137,7,12
35,22,102,65,13,49,,,,,37,33,961,140,35,22
1,5,1,5,14,46,,,,,38,35,962,155,1,5
1,11,2,10,15,44,,,,,39,35,963,186,1,11
1,5,4,14,17,43,,,,,40,36,965,201,1,5
2,4,5,16,18,57,,,,,41,37,967,212,2,4
3,7,7,18,19,53,,,,,42,38,972,195,3,7
8,13,8,19,21,53,,,,,1068,40,973,180,8,13
9,23,9,21,22,52,,,,,638,85,984,206,9,23
1,7,12,25,23,50,,,,,,,985,150,1,7
4,14,14,28,34,53,,,,,,,988,190,4,14
5,21,15,29,39,46,,,,,,,995,155,5,21
7,17,17,30,40,58,,,,,,,996,155,7,17
8,27,18,31,62,52,,,,,,,998,215,8,27
12,21,23,34,70,49,,,,,,,1003,159,12,21
16,31,26,37,72,47,,,,,,,1004,162,16,31
1,4,28,37,73,58,,,,,,,1006,163,1,4
2,9,33,39,76,57,,,,,,,1012,163,2,9
3,21,46,40,1,3,,,,,,,1013,247,3,21
4,17,39,42,9,21,,,,,,,1014,248,4,17
8,18,44,46,16,24,,,,,,,1016,165,8,18
9,20,50,47,30,30,,,,,,,321,101,9,20
10,20,54,49,58,41,,,,,,,322,101,10,20
11,19,55,52,107,58,,,,,,,323,107,11,19
12,18,64,54,1,8,,,,,,,332,111,12,18
14,21,73,55,4,11,,,,,,,345,114,14,21
15,21,1,14,11,19,,,,,,,353,119,15,21
16,21,3,17,17,22,,,,,,,358,123,16,21
17,22,4,19,19,26,,,,,,,392,124,17,22
19,22,5,22,32,27,,,,,,,401,125,19,22
22,22,7,22,36,37,,,,,,,402,131,22,22
24,22,9,27,2,15,,,,,,,405,133,24,22
28,19,11,26,5,17,,,,,,,408,145,28,19
30,20,13,31,3,8,,,,,,,722,157,30,20
1,2,14,34,5,10,,,,,,,363,101,1,2
2,5,18,33,7,13,,,,,,,580,72,2,5
3,9,19,37,12,17,,,,,,,582,74,3,9
4,19,25,42,258,39,,,,,,,584,84,4,19
5,19,26,44,1,5,,,,,,,623,92,5,19
6,17,30,46,3,7,,,,,,,547,91,6,17
7,17,32,48,4,9,,,,,,,559,107,7,17
8,27,36,49,5,13,,,,,,,565,143,8,27
9,23,39,50,7,21,,,,,,,600,163,9,23
10,21,40,53,8,23,,,,,,,601,160,10,21
11,21,41,56,10,16,,,,,,,627,191,11,21
12,26,45,40,12,19,,,,,,,670,215,12,26
13,22,60,58,1,16,,,,,,,613,90,13,22
14,24,76,50,4,19,,,,,,,640,103,14,24
15,24,89,50,5,22,,,,,,,662,100,15,24
16,25,103,65,8,25,,,,,,,677,100,16,25
17,28,1,16,12,30,,,,,,,,,17,28
18,30,2,34,19,33,,,,,,,,,18,30
1,6,3,37,23,36,,,,,,,,,1,6
1,6,4,55,29,40,,,,,,,,,1,6
2,6,15,31,40,41,,,,,,,,,2,6
3,9,35,46,52,42,,,,,,,,,3,9
4,10,40,50,225,70,,,,,,,,,4,10
7,16,41,55,2,10,,,,,,,,,7,16
9,19,49,64,5,9,,,,,,,,,9,19
10,21,1,8,6,9,,,,,,,,,10,21
18,28,2,12,10,16,,,,,,,,,18,28
23,32,3,9,17,21,,,,,,,,,23,32
29,35,4,13,24,18,,,,,,,,,29,35
36,37,5,17,44,30,,,,,,,,,36,37
37,42,6,20,51,32,,,,,,,,,37,42
1,2,25,17,32,10,,,,,,,,,1,2
1,8,7,26,33,5,,,,,,,,,1,8
2,14,9,30,37,7,,,,,,,,,2,14
3,15,12,40,39,8,,,,,,,,,3,15
4,18,41,50,41,10,,,,,,,,,4,18
5,17,53,56,42,13,,,,,,,,,5,17
7,16,69,59,46,16,,,,,,,,,7,16
8,19,73,66,50,20,,,,,,,,,8,19
9,31,79,57,52,23,,,,,,,,,9,31
11,46,95,23,64,22,,,,,,,,,11,46
16,39,168,73,73,24,,,,,,,,,16,39
21,48,195,74,86,23,,,,,,,,,21,48
1,6,224,76,93,26,,,,,,,,,1,6
3,9,232,84,96,27,,,,,,,,,3,9
4,9,1,5,100,30,,,,,,,,,4,9
6,22,2,27,105,29,,,,,,,,,6,22
1,6,3,17,106,29,,,,,,,,,1,6
2,11,6,29,107,34,,,,,,,,,2,11
3,24,2,9,108,32,,,,,,,,,3,24
4,21,3,18,109,30,,,,,,,,,4,21
5,23,4,21,112,36,,,,,,,,,5,23
6,24,5,23,122,41,,,,,,,,,6,24
1,9,6,25,125,37,,,,,,,,,1,9
3,9,9,26,146,40,,,,,,,,,3,9
4,16,10,29,148,41,,,,,,,,,4,16
1,4,14,18,2,7,,,,,,,,,1,4
2,18,19,20,3,8,,,,,,,,,2,18
3,28,23,25,5,11,,,,,,,,,3,28
9,47,1,11,6,12,,,,,,,,,9,47
11,40,2,15,7,11,,,,,,,,,11,40
14,50,3,20,11,19,,,,,,,,,14,50
1,7,6,26,13,19,,,,,,,,,1,7
2,15,1,8,17,22,,,,,,,,,2,15
7,15,5,16,37,34,,,,,,,,,7,15
18,11,18,6,38,30,,,,,,,,,18,11
19,20,20,9,53,39,,,,,,,,,19,20
26,17,23,10,99,40,,,,,,,,,26,17
27,21,26,13,124,43,,,,,,,,,27,21
13,32,29,12,224,48,,,,,,,,,13,32
14,36,545,17,1,8,,,,,,,,,14,36
1,5,547,23,1,25,,,,,,,,,1,5
2,14,1,18,4,31,,,,,,,,,2,14
8,13,2,16,8,38,,,,,,,,,8,13
29,30,4,20,13,42,,,,,,,,,29,30
30,31,7,27,19,39,,,,,,,,,30,31
31,32,8,31,20,47,,,,,,,,,31,32
33,34,9,38,24,52,,,,,,,,,33,34
34,36,12,39,34,56,,,,,,,,,34,36
48,40,13,37,37,64,,,,,,,,,48,40
3,6,15,54,47,84,,,,,,,,,3,6
8,27,17,55,51,75,,,,,,,,,8,27
15,34,18,42,61,68,,,,,,,,,15,34
23,38,19,41,62,77,,,,,,,,,23,38
36,46,20,61,68,80,,,,,,,,,36,46
1,4,21,50,71,100,,,,,,,,,1,4
2,6,22,52,82,89,,,,,,,,,2,6
3,15,27,47,85,94,,,,,,,,,3,15
4,22,44,65,89,100,,,,,,,,,4,22
5,23,97,71,97,139,,,,,,,,,5,23
6,18,172,87,138,105,,,,,,,,,6,18
7,26,5,16,139,142,,,,,,,,,7,26
9,16,6,16,142,151,,,,,,,,,9,16
10,15,7,20,147,109,,,,,,,,,10,15
11,23,8,25,152,159,,,,,,,,,11,23
12,25,9,30,159,173,,,,,,,,,12,25
13,28,10,30,166,183,,,,,,,,,13,28
16,30,11,35,174,136,,,,,,,,,16,30
17,35,12,35,177,193,,,,,,,,,17,35
18,24,13,47,180,214,,,,,,,,,18,24
19,28,15,42,181,151,,,,,,,,,19,28
21,42,30,37,188,152,,,,,,,,,21,42
22,46,32,45,267,165,,,,,,,,,22,46
24,39,33,40,286,228,,,,,,,,,24,39
25,29,35,50,299,230,,,,,,,,,25,29
26,43,38,58,307,182,,,,,,,,,26,43
32,59,42,60,317,237,,,,,,,,,32,59
37,65,44,50,341,239,,,,,,,,,37,65
56,76,47,53,379,243,,,,,,,,,56,76
57,81,50,71,384,249,,,,,,,,,57,81
58,96,51,57,385,252,,,,,,,,,58,96
1,7,55,53,404,261,,,,,,,,,1,7
2,15,62,73,407,204,,,,,,,,,2,15
3,19,1,11,1,14,,,,,,,,,3,19
5,22,3,16,2,20,,,,,,,,,5,22
6,19,4,15,4,21,,,,,,,,,6,19
10,25,15,23,6,11,,,,,,,,,10,25
11,17,25,25,9,19,,,,,,,,,11,17
15,21,26,28,2,10,,,,,,,,,15,21
17,17,32,48,5,11,,,,,,,,,17,17
19,21,33,31,6,16,,,,,,,,,19,21
20,22,37,47,8,18,,,,,,,,,20,22
21,22,53,56,9,24,,,,,,,,,21,22
22,27,61,118,10,19,,,,,,,,,22,27
24,24,1,10,12,19,,,,,,,,,24,24
25,24,2,9,13,22,,,,,,,,,25,24
26,26,3,14,14,23,,,,,,,,,26,26
27,25,4,16,15,25,,,,,,,,,27,25
29,31,5,13,18,27,,,,,,,,,29,31
30,22,6,15,21,30,,,,,,,,,30,22
31,36,13,18,23,28,,,,,,,,,31,36
33,25,16,13,28,25,,,,,,,,,33,25
34,26,18,20,1,20,,,,,,,,,34,26
36,27,20,20,2,24,,,,,,,,,36,27
37,28,22,22,3,28,,,,,,,,,37,28
38,28,23,23,4,29,,,,,,,,,38,28
40,33,24,29,5,34,,,,,,,,,40,33
41,30,29,28,6,17,,,,,,,,,41,30
43,33,32,30,7,37,,,,,,,,,43,33
44,29,38,19,8,21,,,,,,,,,44,29
46,32,43,25,9,31,,,,,,,,,46,32
47,32,44,29,10,24,,,,,,,,,47,32
49,33,47,32,11,26,,,,,,,,,49,33
51,31,49,33,12,26,,,,,,,,,51,31
59,30,103,26,13,29,,,,,,,,,59,30
60,32,119,30,14,23,,,,,,,,,60,32
61,33,1,11,15,32,,,,,,,,,61,33
62,26,10,21,17,28,,,,,,,,,62,26
64,36,57,74,18,31,,,,,,,,,64,36
67,37,76,50,19,30,,,,,,,,,67,37
69,31,79,70,21,34,,,,,,,,,69,31
78,38,82,92,22,36,,,,,,,,,78,38
79,38,99,90,24,30,,,,,,,,,79,38
83,32,133,128,25,37,,,,,,,,,83,32
84,41,135,101,27,34,,,,,,,,,84,41
1,46,140,81,29,38,,,,,,,,,1,46
2,76,159,119,31,38,,,,,,,,,2,76
7,21,160,88,32,46,,,,,,,,,7,21
11,32,196,155,33,36,,,,,,,,,11,32
159,45,210,85,35,38,,,,,,,,,159,45
200,46,94,100,37,38,,,,,,,,,200,46
202,40,1,14,41,40,,,,,,,,,202,40
204,54,2,23,42,44,,,,,,,,,204,54
205,48,3,31,44,49,,,,,,,,,205,48
207,50,4,36,49,51,,,,,,,,,207,50
209,56,5,37,50,52,,,,,,,,,209,56
210,57,9,16,51,52,,,,,,,,,210,57
212,51,62,33,54,30,,,,,,,,,212,51
214,59,1,31,59,44,,,,,,,,,214,59
1,4,2,14,103,37,,,,,,,,,1,4
2,4,3,13,2,35,,,,,,,,,2,4
3,7,4,15,3,48,,,,,,,,,3,7
4,10,5,19,7,48,,,,,,,,,4,10
5,12,6,20,12,50,,,,,,,,,5,12
6,13,7,24,5,14,,,,,,,,,6,13
7,27,8,27,7,19,,,,,,,,,7,27
8,30,9,30,25,37,,,,,,,,,8,30
21,40,10,31,26,39,,,,,,,,,21,40
28,45,11,33,27,38,,,,,,,,,28,45
35,45,12,35,30,40,,,,,,,,,35,45
42,50,13,35,31,39,,,,,,,,,42,50
49,55,14,38,32,41,,,,,,,,,49,55
56,65,15,39,34,40,,,,,,,,,56,65
63,70,16,41,35,41,,,,,,,,,63,70
70,70,17,44,36,43,,,,,,,,,70,70
98,75,18,45,37,42,,,,,,,,,98,75
105,75,19,46,38,43,,,,,,,,,105,75
112,80,20,49,39,44,,,,,,,,,112,80
147,80,21,49,40,43,,,,,,,,,147,80
154,80,22,50,42,42,,,,,,,,,154,80
335,268,23,53,43,42,,,,,,,,,335,268
1,5,25,52,45,44,,,,,,,,,1,5
2,4,26,49,46,50,,,,,,,,,2,4
3,8,27,54,47,50,,,,,,,,,3,8
5,15,28,55,48,49,,,,,,,,,5,15
6,19,39,55,49,47,,,,,,,,,6,19
7,25,1,20,50,47,,,,,,,,,7,25
21,27,2,20,52,48,,,,,,,,,21,27
65,30,6,20,56,49,,,,,,,,,65,30
77,39,2,10,57,46,,,,,,,,,77,39
31,33,3,16,58,51,,,,,,,,,31,33
119,54,5,19,63,50,,,,,,,,,119,54
1,3,1,12,64,52,,,,,,,,,1,3
2,6,2,20,65,52,,,,,,,,,2,6
6,13,3,26,66,53,,,,,,,,,6,13
8,15,84,48,67,53,,,,,,,,,8,15
12,23,90,58,69,53,,,,,,,,,12,23
24,38,1,16,70,54,,,,,,,,,24,38
55,35,2,28,71,54,,,,,,,,,55,35
57,26,3,31,73,50,,,,,,,,,57,26
122,39,4,15,76,52,,,,,,,,,122,39
126,39,5,32,77,54,,,,,,,,,126,39
128,54,6,35,78,53,,,,,,,,,128,54
131,55,11,32,82,52,,,,,,,,,131,55
133,53,12,33,83,54,,,,,,,,,133,53
134,41,13,13,85,55,,,,,,,,,134,41
136,47,19,18,86,52,,,,,,,,,136,47
139,62,22,37,92,63,,,,,,,,,139,62
3,20,23,40,95,55,,,,,,,,,3,20
14,30,24,29,99,59,,,,,,,,,14,30
19,40,26,44,105,65,,,,,,,,,19,40
31,50,27,51,107,59,,,,,,,,,31,50
1,8,30,51,129,65,,,,,,,,,1,8
2,13,34,40,132,62,,,,,,,,,2,13
3,13,36,58,142,65,,,,,,,,,3,13
7,21,1,7,162,65,,,,,,,,,7,21
9,33,3,13,233,70,,,,,,,,,9,33
10,41,7,24,,,,,,,,,,,10,41
11,29,55,38,,,,,,,,,,,11,29
12,45,152,50,,,,,,,,,,,12,45
13,50,250,50,,,,,,,,,,,13,50
14,71,1,24,,,,,,,,,,,14,71
1,9,2,11,,,,,,,,,,,1,9
2,18,3,16,,,,,,,,,,,2,18
8,26,4,20,,,,,,,,,,,8,26
11,34,7,26,,,,,,,,,,,11,34
15,37,15,44,,,,,,,,,,,15,37
18,42,17,32,,,,,,,,,,,18,42
21,42,18,28,,,,,,,,,,,21,42
28,46,21,37,,,,,,,,,,,28,46
35,52,22,41,,,,,,,,,,,35,52
37,54,23,40,,,,,,,,,,,37,54
42,59,24,45,,,,,,,,,,,42,59
49,59,30,47,,,,,,,,,,,49,59
53,60,36,28,,,,,,,,,,,53,60
56,60,46,59,,,,,,,,,,,56,60
59,65,50,62,,,,,,,,,,,59,65
64,65,64,70,,,,,,,,,,,64,65
71,65,77,76,,,,,,,,,,,71,65
78,66,6,18,,,,,,,,,,,78,66
79,70,8,18,,,,,,,,,,,79,70
86,70,9,20,,,,,,,,,,,86,70
93,85,10,25,,,,,,,,,,,93,85
100,89,11,21,,,,,,,,,,,100,89
107,103,13,23,,,,,,,,,,,107,103
114,103,16,26,,,,,,,,,,,114,103
121,116,17,27,,,,,,,,,,,121,116
